Product_ID,Product_Name,Category,Sector,Unit,Purchase_Price,Selling_Price,Current_Stock,Minimum_Stock,Maximum_Stock,Reorder_Level,Status,Description,Supplier_ID,Lead_Time_Days,Record_Type,Sale_ID,Business_ID,Date,Customer_ID,Quantity,Discount_Percent,Total_Amount,Payment_Mode,Payment_Status,Credit_Amount,Notes,Expense_ID,Amount,Is_Fixed,Customer_Name,Business_Name,Contact_Number,Email,City,Customer_Type,Registration_Date,Customer_Rating,Outstanding_Amount,Vendor_ID,Vendor_Name,Material_Type,Total_Ordered_Amount,Total_Paid_Amount,Outstanding_Balance,Next_Payment_Date,Credit_Days_Allowed,Loan_ID,Loan_Provider,Principal_Amount,Interest_Rate,Tenure_Months,Monthly_EMI,Outstanding_Principal,Start_Date,Next_Due_Date,Loan_Type
PROD001,Steel Pipes - 1 inch,Building Materials,Hardware,Piece,₹ 145,₹ 162,125.0,30.0,200.0,50.0,Healthy,Galvanized steel pipes used for plumbing and construction work.,SUPP002,5.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD002,PVC Pipe - 1 inch,Plumbing,Hardware,Piece,₹ 85,₹ 95,180.0,40.0,300.0,70.0,Healthy,"Lightweight PVC pipes for water supply, drainage and small construction jobs.",SUPP003,8.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,Electrical Wire - 2.5 sq mm,Electrical,Hardware,Meter,₹ 8,₹ 9,450.0,100.0,800.0,200.0,Healthy,Copper electrical wire commonly used for household and commercial wiring.,SUPP002,6.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD004,LED Bulb - 9W,Electrical,Hardware,Piece,₹ 55,₹ 61,210.0,50.0,350.0,80.0,Healthy,Energy-efficient LED bulb with steady demand from local households and shops.,SUPP003,3.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,Cement - 50 kg,Construction,Hardware,Bag,₹ 350,₹ 377,65.0,20.0,120.0,30.0,Healthy,"Standard cement for masonry, repair and small concrete construction work.",SUPP003,4.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD006,Wall Paint - 20 L,Paint & Hardware,Hardware,Bucket,₹ 1850,₹ 2106,7.0,8.0,25.0,12.0,Low Stock,Interior and exterior wall paint; keep inventory lean because demand is seasonal.,SUPP003,4.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD007,GI Roofing Sheet,Roofing,Hardware,Piece,₹ 620,₹ 678,42.0,10.0,80.0,18.0,Healthy,"Galvanized roofing sheets for sheds, shops and rural structures.",SUPP003,10.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,PVC Elbow - 1 inch,Plumbing,Hardware,Piece,₹ 12,₹ 13,320.0,80.0,500.0,120.0,Healthy,90-degree PVC connector used to change pipeline direction.,SUPP002,7.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD009,Electrical Switch - 6A,Electrical,Hardware,Piece,₹ 28,₹ 31,145.0,30.0,250.0,60.0,Healthy,Standard 6A switch for residential and small commercial electrical work.,SUPP002,3.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD010,TMT Steel Bar - 8 mm,Building Materials,Hardware,Piece,₹ 410,₹ 440,18.0,10.0,45.0,20.0,Low Stock,Reinforcement steel used in concrete construction; reorder before stock reaches minimum.,SUPP003,5.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD011,Brass Tap - 15 mm,Plumbing,Hardware,Piece,₹ 180,₹ 199,25.0,10.0,60.0,15.0,Healthy,Durable brass water tap for household and small commercial plumbing.,SUPP002,3.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD012,Tile Adhesive - 20 kg,Construction,Hardware,Bag,₹ 285,₹ 316,18.0,15.0,50.0,25.0,Healthy,Cement-based adhesive for ceramic and floor tile installation.,SUPP001,10.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 13,,,,,,,,,Sale,SALE0001,BUS001,2026-06-01,CUST010,6.0,0.0,₹ 78,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 13,,,,,,,,,Sale,SALE0002,BUS001,2026-06-01,CUST028,6.0,0.0,₹ 78,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 13,,,,,,,,,Sale,SALE0003,BUS001,2026-06-01,CUST030,8.0,0.0,₹ 104,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 162,,,,,,,,,Sale,SALE0004,BUS001,2026-06-01,CUST033,7.0,10.0,₹ 1020,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD009,,,,,,₹ 31,,,,,,,,,Sale,SALE0005,BUS001,2026-06-01,CUST011,4.0,5.0,₹ 117,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 377,,,,,,,,,Sale,SALE0006,BUS001,2026-06-01,CUST011,7.0,5.0,₹ 2507,Credit,Pending,₹ 2507,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD007,,,,,,₹ 678,,,,,,,,,Sale,SALE0007,BUS001,2026-06-01,CUST031,4.0,0.0,₹ 2712,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD002,,,,,,₹ 95,,,,,,,,,Sale,SALE0008,BUS001,2026-06-01,CUST010,2.0,0.0,₹ 190,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD002,,,,,,₹ 95,,,,,,,,,Sale,SALE0009,BUS001,2026-06-01,CUST039,1.0,0.0,₹ 95,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD002,,,,,,₹ 95,,,,,,,,,Sale,SALE0010,BUS001,2026-06-01,CUST010,1.0,0.0,₹ 95,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 162,,,,,,,,,Sale,SALE0011,BUS001,2026-06-01,CUST006,8.0,0.0,₹ 1296,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 13,,,,,,,,,Sale,SALE0012,BUS001,2026-06-01,CUST026,6.0,0.0,₹ 78,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD012,,,,,,₹ 316,,,,,,,,,Sale,SALE0013,BUS001,2026-06-01,CUST002,4.0,0.0,₹ 1264,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 377,,,,,,,,,Sale,SALE0014,BUS001,2026-06-01,CUST023,4.0,0.0,₹ 1508,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,,,,,,₹ 9,,,,,,,,,Sale,SALE0015,BUS001,2026-06-01,CUST011,28.0,0.0,₹ 252,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,,,,,,₹ 9,,,,,,,,,Sale,SALE0016,BUS001,2026-06-01,CUST019,44.0,0.0,₹ 396,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD009,,,,,,₹ 31,,,,,,,,,Sale,SALE0017,BUS001,2026-06-01,CUST011,4.0,0.0,₹ 124,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD002,,,,,,₹ 95,,,,,,,,,Sale,SALE0018,BUS001,2026-06-01,CUST005,1.0,0.0,₹ 95,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 377,,,,,,,,,Sale,SALE0019,BUS001,2026-06-02,CUST009,14.0,0.0,₹ 5278,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 13,,,,,,,,,Sale,SALE0020,BUS001,2026-06-02,CUST034,9.0,0.0,₹ 117,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 162,,,,,,,,,Sale,SALE0021,BUS001,2026-06-02,CUST031,5.0,0.0,₹ 810,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 13,,,,,,,,,Sale,SALE0022,BUS001,2026-06-02,CUST026,3.0,0.0,₹ 39,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 162,,,,,,,,,Sale,SALE0023,BUS001,2026-06-02,CUST015,2.0,0.0,₹ 324,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD002,,,,,,₹ 95,,,,,,,,,Sale,SALE0024,BUS001,2026-06-02,CUST014,2.0,0.0,₹ 190,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 377,,,,,,,,,Sale,SALE0025,BUS001,2026-06-02,CUST006,10.0,0.0,₹ 3770,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 377,,,,,,,,,Sale,SALE0026,BUS001,2026-06-02,CUST035,14.0,10.0,₹ 4750,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD004,,,,,,₹ 61,,,,,,,,,Sale,SALE0027,BUS001,2026-06-02,CUST040,6.0,0.0,₹ 366,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 13,,,,,,,,,Sale,SALE0028,BUS001,2026-06-03,CUST030,9.0,0.0,₹ 117,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 13,,,,,,,,,Sale,SALE0029,BUS001,2026-06-03,CUST037,4.0,0.0,₹ 52,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD009,,,,,,₹ 31,,,,,,,,,Sale,SALE0030,BUS001,2026-06-03,CUST039,4.0,5.0,₹ 117,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,,,,,,₹ 9,,,,,,,,,Sale,SALE0031,BUS001,2026-06-03,CUST018,13.0,10.0,₹ 105,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD006,,,,,,₹ 2106,,,,,,,,,Sale,SALE0032,BUS001,2026-06-03,CUST035,5.0,5.0,₹ 10003,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 13,,,,,,,,,Sale,SALE0033,BUS001,2026-06-03,CUST036,4.0,0.0,₹ 52,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 377,,,,,,,,,Sale,SALE0034,BUS001,2026-06-03,CUST012,6.0,0.0,₹ 2262,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD009,,,,,,₹ 31,,,,,,,,,Sale,SALE0035,BUS001,2026-06-03,CUST035,3.0,0.0,₹ 93,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD004,,,,,,₹ 61,,,,,,,,,Sale,SALE0036,BUS001,2026-06-03,CUST017,4.0,0.0,₹ 244,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 13,,,,,,,,,Sale,SALE0037,BUS001,2026-06-03,CUST010,6.0,0.0,₹ 78,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD011,,,,,,₹ 199,,,,,,,,,Sale,SALE0038,BUS001,2026-06-03,CUST025,4.0,0.0,₹ 796,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD004,,,,,,₹ 61,,,,,,,,,Sale,SALE0039,BUS001,2026-06-03,CUST032,10.0,0.0,₹ 610,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,,,,,,₹ 9,,,,,,,,,Sale,SALE0040,BUS001,2026-06-03,CUST037,49.0,5.0,₹ 418,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 13,,,,,,,,,Sale,SALE0041,BUS001,2026-06-03,CUST004,4.0,0.0,₹ 52,Credit,Pending,₹ 52,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 13,,,,,,,,,Sale,SALE0042,BUS001,2026-06-03,CUST028,9.0,0.0,₹ 117,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD011,,,,,,₹ 199,,,,,,,,,Sale,SALE0043,BUS001,2026-06-03,CUST018,3.0,0.0,₹ 597,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD007,,,,,,₹ 678,,,,,,,,,Sale,SALE0044,BUS001,2026-06-03,CUST031,1.0,0.0,₹ 678,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 377,,,,,,,,,Sale,SALE0045,BUS001,2026-06-03,CUST026,10.0,10.0,₹ 3393,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,,,,,,₹ 9,,,,,,,,,Sale,SALE0046,BUS001,2026-06-04,CUST014,30.0,0.0,₹ 270,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 377,,,,,,,,,Sale,SALE0047,BUS001,2026-06-04,CUST004,3.0,0.0,₹ 1131,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 377,,,,,,,,,Sale,SALE0048,BUS001,2026-06-04,CUST006,3.0,10.0,₹ 1017,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 13,,,,,,,,,Sale,SALE0049,BUS001,2026-06-04,CUST024,5.0,0.0,₹ 65,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 162,,,,,,,,,Sale,SALE0050,BUS001,2026-06-04,CUST036,2.0,5.0,₹ 307,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 13,,,,,,,,,Sale,SALE0051,BUS001,2026-06-04,CUST040,10.0,0.0,₹ 130,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 162,,,,,,,,,Sale,SALE0052,BUS001,2026-06-04,CUST008,7.0,0.0,₹ 1134,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD002,,,,,,₹ 95,,,,,,,,,Sale,SALE0053,BUS001,2026-06-04,CUST014,2.0,0.0,₹ 190,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 377,,,,,,,,,Sale,SALE0054,BUS001,2026-06-04,CUST009,14.0,0.0,₹ 5278,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 162,,,,,,,,,Sale,SALE0055,BUS001,2026-06-04,CUST030,8.0,0.0,₹ 1296,Credit,Pending,₹ 1296,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD009,,,,,,₹ 31,,,,,,,,,Sale,SALE0056,BUS001,2026-06-04,CUST033,2.0,5.0,₹ 58,Credit,Pending,₹ 58,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD004,,,,,,₹ 61,,,,,,,,,Sale,SALE0057,BUS001,2026-06-04,CUST027,8.0,0.0,₹ 488,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD006,,,,,,₹ 2106,,,,,,,,,Sale,SALE0058,BUS001,2026-06-04,CUST021,1.0,0.0,₹ 2106,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD007,,,,,,₹ 678,,,,,,,,,Sale,SALE0059,BUS001,2026-06-04,CUST038,1.0,0.0,₹ 678,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD007,,,,,,₹ 678,,,,,,,,,Sale,SALE0060,BUS001,2026-06-04,CUST038,2.0,10.0,₹ 1220,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 162,,,,,,,,,Sale,SALE0061,BUS001,2026-06-04,CUST030,7.0,0.0,₹ 1134,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD007,,,,,,₹ 678,,,,,,,,,Sale,SALE0062,BUS001,2026-06-04,CUST016,3.0,0.0,₹ 2034,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 162,,,,,,,,,Sale,SALE0063,BUS001,2026-06-05,CUST006,9.0,5.0,₹ 1385,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD007,,,,,,₹ 678,,,,,,,,,Sale,SALE0064,BUS001,2026-06-05,CUST005,5.0,0.0,₹ 3390,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD009,,,,,,₹ 31,,,,,,,,,Sale,SALE0065,BUS001,2026-06-05,CUST021,1.0,0.0,₹ 31,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,,,,,,₹ 9,,,,,,,,,Sale,SALE0066,BUS001,2026-06-05,CUST027,20.0,5.0,₹ 171,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD007,,,,,,₹ 678,,,,,,,,,Sale,SALE0067,BUS001,2026-06-05,CUST033,3.0,0.0,₹ 2034,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 377,,,,,,,,,Sale,SALE0068,BUS001,2026-06-05,CUST040,7.0,0.0,₹ 2639,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,,,,,,₹ 9,,,,,,,,,Sale,SALE0069,BUS001,2026-06-05,CUST025,21.0,0.0,₹ 189,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 13,,,,,,,,,Sale,SALE0070,BUS001,2026-06-05,CUST033,6.0,0.0,₹ 78,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD012,,,,,,₹ 316,,,,,,,,,Sale,SALE0071,BUS001,2026-06-05,CUST037,3.0,10.0,₹ 853,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 377,,,,,,,,,Sale,SALE0072,BUS001,2026-06-05,CUST019,8.0,0.0,₹ 3016,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 162,,,,,,,,,Sale,SALE0073,BUS001,2026-06-05,CUST023,6.0,0.0,₹ 972,Credit,Pending,₹ 972,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 377,,,,,,,,,Sale,SALE0074,BUS001,2026-06-06,CUST039,11.0,5.0,₹ 3939,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,,,,,,₹ 9,,,,,,,,,Sale,SALE0075,BUS001,2026-06-06,CUST024,19.0,0.0,₹ 171,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 162,,,,,,,,,Sale,SALE0076,BUS001,2026-06-06,CUST009,4.0,0.0,₹ 648,Credit,Pending,₹ 648,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD012,,,,,,₹ 316,,,,,,,,,Sale,SALE0077,BUS001,2026-06-06,CUST037,3.0,0.0,₹ 948,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 377,,,,,,,,,Sale,SALE0078,BUS001,2026-06-06,CUST028,13.0,0.0,₹ 4901,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,,,,,,₹ 13,,,,,,,,,Sale,SALE0079,BUS001,2026-06-06,CUST025,5.0,0.0,₹ 65,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD009,,,,,,₹ 31,,,,,,,,,Sale,SALE0080,BUS001,2026-06-07,CUST033,4.0,0.0,₹ 124,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD002,,,,,,₹ 95,,,,,,,,,Sale,SALE0081,BUS001,2026-06-07,CUST011,1.0,10.0,₹ 85,Credit,Pending,₹ 85,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,,,,,,₹ 377,,,,,,,,,Sale,SALE0082,BUS001,2026-06-07,CUST011,6.0,0.0,₹ 2262,UPI,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD011,,,,,,₹ 199,,,,,,,,,Sale,SALE0083,BUS001,2026-06-07,CUST040,5.0,0.0,₹ 995,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD001,,,,,,₹ 162,,,,,,,,,Sale,SALE0084,BUS001,2026-06-07,CUST013,4.0,5.0,₹ 615,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD007,,,,,,₹ 678,,,,,,,,,Sale,SALE0085,BUS001,2026-06-07,CUST018,1.0,0.0,₹ 678,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD002,,,,,,₹ 95,,,,,,,,,Sale,SALE0086,BUS001,2026-06-07,CUST002,4.0,5.0,₹ 361,Cash,Completed,0,Standard Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
