Product_ID,Product_Name,Category,Sector,Unit,Purchase_Price,Selling_Price,Current_Stock,Minimum_Stock,Maximum_Stock,Reorder_Level,Status,Description,Supplier_ID,Lead_Time_Days,Record_Type,Sale_ID,Business_ID,Date,Customer_ID,Quantity,Discount_Percent,Total_Amount,Payment_Mode,Payment_Status,Credit_Amount,Notes,Expense_ID,Amount,Is_Fixed,Customer_Name,Contact_Number,Customer_Type,Total_Credit_Sales,Total_Payments_Received,Outstanding_Amount,Last_Payment_Date,Days_Overdue,Vendor_ID,Vendor_Name,Material_Type,Total_Ordered_Amount,Total_Paid_Amount,Outstanding_Balance,Next_Payment_Date,Credit_Days_Allowed,Loan_ID,Loan_Provider,Principal_Amount,Interest_Rate,Tenure_Months,Monthly_EMI,Outstanding_Principal,Start_Date,Next_Due_Date,Loan_Type
PROD001,Steel Pipes - 1 inch,Building Materials,Hardware,Piece,₹ 145,₹ 220,125.0,30.0,200.0,50.0,Healthy,Galvanized steel pipes used for plumbing and construction work.,SUPP003,7.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD002,PVC Pipe - 1 inch,Plumbing,Hardware,Piece,₹ 85,₹ 135,180.0,40.0,300.0,70.0,Healthy,"Lightweight PVC pipes for water supply, drainage and small construction jobs.",SUPP001,9.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD003,Electrical Wire - 2.5 sq mm,Electrical,Hardware,Meter,₹ 8,₹ 15,450.0,100.0,800.0,200.0,Healthy,Copper electrical wire commonly used for household and commercial wiring.,SUPP003,9.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD004,LED Bulb - 9W,Electrical,Hardware,Piece,₹ 55,₹ 90,210.0,50.0,350.0,80.0,Healthy,Energy-efficient LED bulb with steady demand from local households and shops.,SUPP002,5.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD005,Cement - 50 kg,Construction,Hardware,Bag,₹ 350,₹ 425,65.0,20.0,120.0,30.0,Healthy,"Standard cement for masonry, repair and small concrete construction work.",SUPP003,4.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD006,Wall Paint - 20 L,Paint & Hardware,Hardware,Bucket,₹ 1850,₹ 2450,7.0,8.0,25.0,12.0,Low Stock,Interior and exterior wall paint; keep inventory lean because demand is seasonal.,SUPP003,3.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD007,GI Roofing Sheet,Roofing,Hardware,Piece,₹ 620,₹ 850,42.0,10.0,80.0,18.0,Healthy,"Galvanized roofing sheets for sheds, shops and rural structures.",SUPP002,5.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD008,PVC Elbow - 1 inch,Plumbing,Hardware,Piece,₹ 12,₹ 22,320.0,80.0,500.0,120.0,Healthy,90-degree PVC connector used to change pipeline direction.,SUPP002,8.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD009,Electrical Switch - 6A,Electrical,Hardware,Piece,₹ 28,₹ 50,145.0,30.0,250.0,60.0,Healthy,Standard 6A switch for residential and small commercial electrical work.,SUPP002,7.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROD010,TMT Steel Bar - 8 mm,Building Materials,Hardware,Piece,₹ 410,₹ 520,18.0,10.0,45.0,20.0,Low Stock,Reinforcement steel used in concrete construction; reorder before stock reaches minimum.,SUPP002,4.0,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
